date,id,city,district,address,coordinates,travel_time,condition,new_building,price,condominium_fee,condominium_operation_fee,condominium_financial_fee,condominium_land_rent_fee,area,rooms,floor,top_floor,balcony,sauna,beach,building_year,apartments_in_building,lvi_upcoming,lvi_past
2023-03-02,9758967.0,3,135,"Kuusitie 2 B, 00270 Helsinki","60.1951, 24.901004",18.0,3,0.0,335000.0,280.0,280.0,0.0,0.0,50.0,2.0,3.0,0.0,0,0,0,1946.0,84.0,0,0
2023-03-02,20540161.0,3,182,"Ida Aalbergin tie 4 G, 00400 Helsinki","60.229873, 24.900845",31.0,3,0.0,237500.0,239.8,239.8,0.0,0.0,52.5,2.0,3.0,0.0,1,0,0,1959.0,103.0,0,0
2023-03-02,20983119.0,3,251,"Jääkärinkatu 13 A, 00150 Helsinki","60.160155, 24.943384",11.0,3,0.0,335000.0,265.5,265.5,0.0,0.0,45.0,1.0,1.0,0.0,0,0,0,1931.0,31.0,1,0
2023-03-02,67654.0,3,108,"Melkonkatu 2, 00210 Helsinki","60.14755, 24.88394",27.0,3,0.0,335000.0,276.0,276.0,0.0,0.0,60.0,3.0,1.0,0.0,1,0,0,1973.0,,1,0
2023-03-02,,2,112,"Veräjäkallionkatu 3, 02650 Espoo","60.226824, 24.812135",29.0,3,0.0,249000.0,188.7,188.7,0.0,0.0,51.0,2.0,3.0,1.0,1,1,0,2001.0,50.0,0,0
2023-03-02,20497883.0,1,237,"Talvikkitie 7 D, 01300 Vantaa","60.28831, 25.031424",29.0,3,0.0,279000.0,155.75,155.75,0.0,0.0,44.5,2.0,5.0,0.0,1,1,0,2019.0,70.0,1,0
2023-03-02,21896096.0,3,191,"Juorumäenkuja 1 D, 00910 Helsinki","60.209113, 25.105172",35.0,3,0.0,270000.0,208.65,208.65,0.0,0.0,53.5,2.0,2.0,0.0,1,1,0,2006.0,92.0,0,0
2023-03-02,21188831.0,3,55,"Kolmas linja 14 D, 00530 Helsinki","60.18263, 24.948438",13.0,3,0.0,249500.0,209.0,209.0,0.0,0.0,38.0,1.0,1.0,0.0,0,0,0,1938.0,83.0,1,0
2023-03-02,21503460.0,3,276,"Marunakuja 4 A, 00840 Helsinki","60.183383, 25.059257",29.0,3,0.0,198000.0,325.82,256.8,69.02,0.0,53.5,2.0,7.0,0.0,1,0,0,1974.0,61.0,1,0
2023-03-02,1340910.0,2,240,"Korkoontie 4, 02330 Espoo","60.169373, 24.622609",53.0,3,0.0,265000.0,848.25,195.75,652.5,121.8,43.5,2.0,5.0,1.0,1,1,0,2021.0,40.0,0,0
2023-03-02,20233675.0,2,221,"Yläkartanontie 25 B, 02360 Espoo","60.143134, 24.670591",35.0,2,0.0,210000.0,493.26,279.65,213.61,0.0,59.5,2.0,1.0,0.0,1,1,0,2008.0,35.0,1,0
2023-03-02,20655268.0,2,241,"Kotitontuntie 8 A, 02200 Espoo","60.173942, 24.766807",32.0,2,0.0,150000.0,338.68,141.47,175.77,21.439999999999998,40.5,1.0,1.0,0.0,1,0,0,1975.0,67.0,1,0
2023-03-02,10148910.0,3,55,"Kolmas linja 32 A, 00530 Helsinki","60.18455, 24.943488",14.0,3,0.0,349000.0,317.5,255.0,62.5,0.0,50.0,2.0,2.0,0.0,0,0,0,1939.0,107.0,0,0
2023-03-02,21397190.0,3,188,"Kankurinkatu 7 A, 00150 Helsinki","60.159546, 24.936876",13.0,2,0.0,359000.0,215.0,215.0,0.0,0.0,43.0,1.0,3.0,0.0,0,0,0,1931.0,52.0,0,1
2023-03-02,1341654.0,3,166,"Poutamäentie 10 a, 00360 Helsinki","60.216492, 24.855502",33.0,2,0.0,255285.0,331.25,331.25,0.0,0.0,53.0,2.0,2.0,0.0,1,1,0,1998.0,36.0,0,0
2023-03-02,1341448.0,3,145,"Ulvilantie 25, 00350 Helsinki","60.209419, 24.872822",36.0,2,0.0,248000.0,336.7,233.1,103.6,0.0,51.0,2.0,3.0,0.0,1,0,0,1958.0,48.0,1,0
2023-03-02,21489591.0,3,274,"Ulappasaarentie 7 A, 00980 Helsinki","60.211883, 25.137756",37.0,3,0.0,275000.0,376.1,203.3,172.8,0.0,53.5,3.0,4.0,0.0,1,1,0,2017.0,73.0,0,0
2023-03-02,21738498.0,3,255,"Mäkelänkatu 40 A, 00510 Helsinki","60.195416, 24.954406",17.0,2,0.0,299000.0,400.13,351.63,48.5,0.0,48.5,2.0,4.0,1.0,0,0,0,1946.0,21.0,0,1
2023-03-02,21118742.0,2,190,"Kalliolähteentie 5 C, 02210 Espoo","60.177755, 24.714986",38.0,3,0.0,209000.0,127.8,127.8,0.0,0.0,35.5,2.0,5.0,1.0,1,0,0,2020.0,91.0,0,0
2023-03-02,1342245.0,3,235,"Tyynelänkuja 2, 00780 Helsinki","60.252825, 24.994883",28.0,2,0.0,164000.0,286.0,247.5,38.5,0.0,55.0,2.0,2.0,0.0,1,0,0,1979.0,105.0,1,0
